PlotID,Transect,Bearing,Slope%_1,Dist_1,Slope%_2,Dist_2,Slope%_3,Dist_3,HD_segment_1,HD_segment_2,HD_segment_3,Horizontal_distance
WCF_1,1,236,0.4,25,2.2,25,,,24.9998,24.9939522,0,49.9937522
WCF_1,2,326,6.5,15,15.6,35,,,14.96841256,34.58173881,0,49.55015136
WCF_2,1,210,9,25,14,12,21,13,24.89936097,11.88410096,12.72249546,49.50595739
WCF_2,2,300,3.6,50,,,,,49.96763146,0,0,49.96763146
WCF_3,1,50,13.5,42,28.5,8,,,41.62242817,7.693641534,0,49.3160697
WCF_3,2,140,8,43,20,7,,,42.86305698,6.86406473,0,49.72712171
WCF_4,1,3,3.5,50,,,,,49.96940311,0,0,49.96940311
WCF_4,2,93,12.5,50,,,,,49.61389384,0,0,49.61389384
WCF_5,1,144,30,50,,,,,47.89131426,0,0,47.89131426
WCF_5,2,234,10,50,,,,,49.75185951,0,0,49.75185951
WCF_6,1,312,8,50,,,,,49.84076393,0,0,49.84076393
WCF_6,2,222,6,50,,,,,49.91024227,0,0,49.91024227
WCF_7,1,200,7,50,,,,,49.87794836,0,0,49.87794836
WCF_7,2,290,6,50,,,,,49.91024227,0,0,49.91024227
WCF_8,1,180,19,25,19,25,,,24.56061129,24.56061129,0,49.12122259
WCF_8,2,270,12.6,50,,,,,49.60776422,0,0,49.60776422
WCF_9,1,340,9,50,,,,,49.79872194,0,0,49.79872194
WCF_9,2,250,1.5,10,9,15,20,25,9.99887519,14.93961658,24.51451689,49.45300866
